Index	Sentence	Surprisal	PPL
47	the of into the to.	6.285933494567871	536.9653109521537
48	a of or and to.	5.991278171539307	399.9254567192688
49	the in and what and.	6.467933177947998	644.151004688279
50	with and.	6.449676036834717	632.4973537729344
51	when the the.	6.982485294342041	1077.5931780009619
52	the two in of to the.	6.300044059753418	544.5959043585937
53	the underneath the each of.	6.929270267486572	1021.748104698611
54	the a and.	6.492622375488281	660.2525250061922
55	a a with that to an.	6.086209297180176	439.7512812409795
56	the may by or the may a.	6.144794464111328	466.2838011578889
57	the for a.	6.380309104919434	590.1100854004926
58	for the because.	6.031729698181152	416.434713150606
59	and to.	6.083950996398926	438.7593110840683
60	as as an.	6.679074287414551	795.5822904869779
61	a for.	6.646356105804443	769.9735054924976
62	of.	6.055194854736328	426.321968216466
63	may 8 to 10 in the for every will in.	5.942725658416748	380.97191496868874
64	to to and on the of the.	5.593876838684082	268.7756021407447
65	the of and as.	6.311502933502197	550.8722513279304
66	as and who can in.	5.676647663116455	291.9690090123743
67	all but.	6.17249059677124	479.37855920467223
68	the of out to the of the.	5.761897087097168	317.9509377579466
69	to the on the.	5.98204231262207	396.2488062711654
70	one the on the while the the into.	6.55185079574585	700.5395303084725
71	in for a by.	5.941359043121338	380.45162851925625
72	that and the.	6.2524566650390625	519.2869731016341
73	some that the.	7.036023139953613	1136.8574816656926
74	up that to the two.	5.299141883850098	200.16497146197855
75	the with to and.	6.806115627288818	903.3550154753478
76	to within a.	6.735350608825684	841.6385182558504
77	the in an on a than at.	6.425060272216797	617.118011492529
78	a for.	6.646356105804443	769.9735054924976
79	as the of broadens must if.	7.095876216888428	1206.9794760941086
80	that and can in the.	6.2986273765563965	543.824930733357
81	the to in the.	6.294284343719482	541.4682025798984
82	to for the.	6.237026214599609	511.33564525067777
83	one at when and the an.	6.952073574066162	1045.3150205750155
84	a for at.	7.00686502456665	1104.1874726092506
85	over the four decades the of up.	6.226198196411133	505.8287617059694
86	by a of four since the 1970s.	4.552672386169434	94.88564087096715
87	the for to and for could.	6.235740661621094	510.67871853642396
88	in.	5.861454486846924	351.23463883829106
89	on for.	6.161967754364014	474.3605821669302
90	the with on like in.	6.715510845184326	825.1051602526173
91	in.	5.861454486846924	351.23463883829106
92	because to often.	7.27673864364624	1446.2635443947668
93	a of about.	6.434296607971191	622.8443250147105
94	with because a about and.	7.3042497634887695	1486.6042385963597
95	to and about the of.	5.850125312805176	347.2778961194824
96	and and.	6.2694244384765625	528.173294150815
97	must and two in to.	6.820714473724365	916.6396911511264
98	the as to a.	6.571214199066162	714.2365421963451
99	by the in as a.	6.514835357666016	675.0828051642211
100	but the that on of.	6.407257556915283	606.2288511336964
